'cl_Colectas_copy1_IdColectas','cl_Personas_Recolectar','cl_Fecha_Inicio','cl_Fecha_Corte','cl_Fecha_Tratamiento','cl_Fecha_Embalaje','cl_Fecha_Extraccion','cl_Tipo_Extraccion','cl_Fecha_Carga_Envio','cl_Tipo_vehiculo','cl_Fecha_Llegada','cl_Fecha_Descarga','cl_Observaciones','cl_Nombre_Responsable_Tecnico','cl_Nombre_Responsable_operativo'
5600,5,,,,'2021-07-28','2021-07-28','Manual','2021-07-28','Camioneta 3ton','2021-07-31','2021-07-31','El tipo de raíz es mixta','Geovanni Mtz',
5601,1,,,,'2021-07-29','2021-07-29','Manual','2021-07-29','Camioneta 3ton','2021-07-31','2021-07-31','Se encontró sobre roca','Geovanni Mtz',
5602,1,,,,'2021-07-29','2021-07-29','Manual','2021-07-29','Camioneta 3ton','2021-07-31','2021-07-31','Sobre arroyo temporal','Geovanni Mtz',
5603,2,,,,'2021-07-29','2021-07-29','Manual','2021-07-29','Camioneta 3ton','2021-07-31','2021-07-31','Encontrada en zona urbana','Geovanni Mtz',
5604,1,,,,'2021-07-29','2021-07-29','Manual','2021-07-29','Camioneta 3ton','2021-07-31','2021-07-31','Se encontró sobre roca','Geovanni Mtz',
5605,2,,,,'2021-07-29','2021-07-29','Manual','2021-07-29','Camioneta 3ton','2021-07-31','2021-07-31','Se encontró sobre roca','Geovanni Mtz',
5606,1,,,,'2021-07-29','2021-07-29','Manual','2021-07-29','Camioneta 3ton','2021-07-31','2021-07-31','Se encontró sobre roca','Geovanni Mtz',
5607,1,,,,'2021-07-29','2021-07-29','Manual','2021-07-29','Camioneta 3ton','2021-07-31','2021-07-31','Se encontró sobre roca','Geovanni Mtz',
5608,1,,,,'2021-07-29','2021-07-29','Manual','2021-07-29','Camioneta 3ton','2021-07-31','2021-07-31','Se encontró sobre roca','Geovanni Mtz',
5609,1,,,,'2021-07-29','2021-07-29','Manual','2021-07-29','Camioneta 3ton','2021-07-31','2021-07-31','Se encontró sobre roca','Geovanni Mtz',
5610,1,,,,'2021-07-29','2021-07-29','Manual','2021-07-29','Camioneta 3ton','2021-07-31','2021-07-31','Se encontró sobre roca','Geovanni Mtz',
5611,1,,,,'2021-07-29','2021-07-29','Manual','2021-07-29','Camioneta 3ton','2021-07-31','2021-07-31','Se encontró sobre roca','Geovanni Mtz',
5612,2,,,,'2021-07-29','2021-07-29','Manual','2021-07-29','Camioneta 3ton','2021-07-31','2021-07-31','Se encontró sobre roca','Geovanni Mtz',
